GEO_ID,NAME,TOTAL_POP,TOTAL_FEM_POP
6001,"Alameda County, California",1630291,828003
6003,"Alpine County, California",1039,485
6005,"Amador County, California",34700,17649
6007,"Butte County, California",220091,111434
6009,"Calaveras County, California",45051,22776
6011,"Colusa County, California",21273,10407
6013,"Contra Costa County, California",1132877,578755
6015,"Del Norte County, California",24448,12603
6017,"El Dorado County, California",186608,93826
6019,"Fresno County, California",968001,487811
6021,"Glenn County, California",27522,13650
6023,"Humboldt County, California",132584,66767
6025,"Imperial County, California",170621,87463
6027,"Inyo County, California",17562,8827
6029,"Kern County, California",857145,429214
6031,"Kings County, California",135855,67082
6033,"Lake County, California",63157,31926
6035,"Lassen County, California",21010,10331
6037,"Los Angeles County, California",9928773,5040177
6039,"Madera County, California",146837,75021
6041,"Marin County, California",253869,131271
6043,"Mariposa County, California",17221,8490
6045,"Mendocino County, California",85684,43404
6047,"Merced County, California",265217,131911
6049,"Modoc County, California",8603,4178
6051,"Mono County, California",14190,6662
6053,"Monterey County, California",416284,208878
6055,"Napa County, California",136360,68693
6057,"Nevada County, California",98185,49820
6059,"Orange County, California",3130730,1585035
6061,"Placer County, California",382208,195637
6063,"Plumas County, California",18334,9272
6065,"Riverside County, California",2373706,1196391
6067,"Sacramento County, California",1504340,772593
6069,"San Benito County, California",60052,30081
6071,"San Bernardino County, California",2091206,1065385
6073,"San Diego County, California",3234305,1624598
6075,"San Francisco County, California",861359,421122
6077,"San Joaquin County, California",726994,367326
6079,"San Luis Obispo County, California",266098,133633
6081,"San Mateo County, California",761226,385203
6083,"Santa Barbara County, California",425052,213418
6085,"Santa Clara County, California",1896320,938159
6087,"Santa Cruz County, California",262224,132296
6089,"Shasta County, California",176274,89670
6091,"Sierra County, California",3013,1397
6093,"Siskiyou County, California",43074,21619
6095,"Solano County, California",430780,220246
6097,"Sonoma County, California",492490,252360
6099,"Stanislaus County, California",538643,272251
6101,"Sutter County, California",94914,47665
6103,"Tehama County, California",63142,31848
6105,"Trinity County, California",12463,6114
6107,"Tulare County, California",456186,228762
6109,"Tuolumne County, California",50532,25438
6111,"Ventura County, California",835220,423026
6113,"Yolo County, California",209222,107641
6115,"Yuba County, California",74761,36884